,"Reviews similar to the given review([reviewerID,reviewText])"
0,"['A2OQBHSLP70YS6', 'My cats love this!']"
1,"['AUZU84AW7P5BJ', 'Our cats love this.']"
2,"['A2331190RLVE1D', 'My cats love these!']"
3,"['AVCT346ZLQR6G', 'my cats love these.']"
4,"['A1SB4IJICH7IP8', 'The cats loved it!']"
5,"['AUFYGX6HQALNC', 'cats loved it']"
6,"['A3HRC4L4DEXTHB', 'Cats love it']"
7,"['A2N4DUHU7UCP1N', 'cats loved it!']"
8,"['AZ2UZ0HEUEPWI', 'Cats love this!']"
9,"['A1AIGEDIGLGBB8', 'My cats love this!']"
10,"['A2OUCODZYS4NRP', 'My cats loved it!']"
11,"['A3TUZGQOWGA2C7', 'Cats love it']"
12,"['A2PLCYARZEKEG', 'cats love it']"
13,"['A3HQNEL4H19PA', 'My cats love it.']"
